index,age,gender,income,edu,city,smartphone,sns,movieNm,theaterNm,newspaper
1238,52,1,7,5,1,1,2,3,1,2
6213,10,1,1,2,1,1,1,2,0,1
6603,12,2,1,2,2,1,2,1,0,2
5695,70,1,2,3,2,1,2,0,0,1
2050,45,2,3,4,1,1,2,2,0,2
4015,31,1,6,5,1,1,1,2,0,1
8625,13,1,1,3,1,1,2,2,0,2
1082,58,2,5,3,1,1,1,0,0,2
5605,48,1,4,4,2,1,2,0,0,2
4597,49,1,9,4,1,1,1,0,0,1
2292,60,2,1,3,2,1,2,1,0,2
4826,43,2,4,5,1,1,2,6,2,1
869,22,2,3,5,1,1,1,4,0,2
7639,58,1,4,4,1,0,2,0,0,2
6883,87,2,2,2,2,0,2,0,0,2
314,43,2,7,5,1,1,2,2,0,2
7983,78,2,3,2,1,1,2,0,0,2
8866,57,1,5,4,1,1,2,0,0,2
1202,73,1,4,5,1,1,2,2,0,1
818,12,1,1,2,1,1,2,1,0,2
2939,25,1,5,5,1,1,1,3,0,1
9892,25,1,1,5,1,1,1,3,0,1
7230,70,2,1,2,1,1,2,0,0,2
2986,46,1,6,4,1,1,2,2,0,1
5437,60,2,1,2,1,1,2,0,0,1
7268,85,2,2,2,1,0,2,0,0,2
1243,24,2,1,5,1,1,1,6,1,2
7913,53,1,4,4,1,1,2,2,0,2
9928,44,2,6,5,1,1,1,5,3,1
5442,56,2,1,4,1,1,2,0,0,1
2727,50,1,9,5,1,1,2,0,0,2
7062,65,2,3,3,2,0,2,0,0,2
2444,75,2,1,4,1,0,2,0,0,2
10844,11,2,1,2,1,1,1,0,0,2
8833,57,1,7,5,1,1,1,3,0,2
7768,84,2,1,2,1, ,2,0,0,2
2947,15,1,1,3,1,1,2,1,0,1
5573,74,2,1,2,2,0,2,0,0,2
7196,83,1,1,4,1,0,2,0,0,2
5144,59,1,8,4,1,1,2,5,1,1
2042,47,1,8,5,1,1,2,2,0,1
3329,20,1,1,5,1,1,1,4,0,1
9583,25,2,5,4,1,1,1,6,0,2
4269,55,1,7,4,1,1,2,1,0,1
3983,34,2,4,4,1,1,1,5,0,1
7398,17,2,1,4,1,1,1,2,0,2
4713,17,1,1,4,1,1,2,2,0,2
94,47,1,7,5,1,1,2,5,1,1
3957,37,2,4,4,1,1,2,2,0,2
7940,57,2,9,5,1,1,1,3,2,1
10745,37,2,4,5,1,1,1,15,0,2
5090,31,2,5,5,1,1,1,6,2,1
8098,49,1,10,4,2,1,1,10,0,1
330,22,2,1,5,1,1,2,2,0,2
9685,45,1,5,5,1,1,2,0,0,2
2430,55,1,1,2,1,1,2,0,0,2
8365,21,2,5,4,1,1,1,4,0,1
2069,30,2,5,5,1,1,1,4,4,2
4794,12,1,1,2,1,1,2,4,0,1
10007,46,1,12,5,1,1,1,2,0,1
2433,28,2,5,4,1,1,1,0,0,2
2043,47,2,1,4,1,1,2,2,0,1
2850,25,2,8,5,1,1,1,10,0,1
4001,53,2,5,4,1,1,1,2,0,2
3342,14,2,1,3,1,1,1,4,0,2
443,61,1,18,5,1,1,2,1,0,1
6054,44,1,12,5,1,1,2,12,0,1
4410,56,2,5,4,1,1,2,1,0,1
9221,8,2,1,2,1,1,2,3,0,2
10783,48,1,10,5,1,1,1,0,0,2
6942,33,2,1,4,2,1,1,3,0,1
7869,86,1,2,5,2,1,2,0,1,2
5886,24,1,7,5,1,1,1,12,0,2
1090,78,2,1,2,1,0,2,0,0,2
8540,38,1,7,5,1,1,1,7,1,1
5301,54,2,1,4,1,1,1,5,0,2
3356,21,2,1,5,1,1,1,5,0,1
6017,16,1,1,4,1,1,1,5,0,2
7696,51,2,1,4,2,1,1,2,0,1
739,39,2,1,5,1,1,2,0,0,2
2568,46,2,5,4,1,1,1,4,2,1
323,18,2,1,4,1,1,1,3,0,2
7938,57,1,8,5,1,1,1,3,0,1
3498,51,2,1,4,1,1,2,0,0,2
5003,26,2,6,5,1,1,1,3,0,2
8966,43,1,10,5,1,1,1,6,0,1
3682,14,1,1,3,1,1,1,3,0,2
3750,72,2,3,2,1,1,2,0,0,2
3627,31,1,6,5,1,1,1,10,0,1
748,43,2,6,5,1,1,2,5,1,1
9339,13,1,1,3,1,1,1,3,0,1
10369,41,2,8,5,1,1,1,3,0,1
2813,66,1,4,4,1,1,2,0,0,2
763,59,1,9,5,1,1,2,3,1,1
275,14,1,1,3,1,1,2,3,1,1
3314,78,2,1,2,1, ,2,0,0,1
1606,48,2,5,4,1,1,1,5,0,1
2465,20,1,2,5,1,1,1,5,2,1
4258,50,1,7,5,1,1,2,3,0,1
2148,60,1,6,4,1,1,1,0,0,1
3483,53,1,1,4,1,1,2,0,0,1
5641,57,1,1,4,1,1,2,0,0,1
5789,18,1,1,4,1,1,2,3,0,2
3932,56,2,1,4,1,1,2,0,0,2
7658,91,1,2,2,1, ,2,0,0,2
9295,16,1,1,4,1,1,1,2,0,2
10528,49,1,10,5,1,1,1,2,1,2
5266,60,2,4,4,1,1,2,3,0,2
4191,51,1,10,5,1,2,1,6,0,1
9932,48,1,9,4,1,1,1,3,3,1
10267,8,1,1,2,1,0,2,3,0,2
1962,53,2,6,4,1,1,1,7,3,2
6952,76,2,3,2,2,0,2,0,0,2
4399,48,1,5,3,1,1,2,2,0,1
2398,80,2,2,2,1,0,2,0,0,2
2227,43,1,7,4,2,1,1,6,0,1
5902,66,2,2,3,1,1,2,0,0,2
4965,52,2,3,4,1,1,2,2,0,2
10499,77,2,3,2,1,0,2,0,0,2
7695,53,1,6,4,2,1,1,2,0,1
9730,38,1,8,5,1,1,1,1,0,1
10781,36,1,8,5,1,1,1,5,0,2
2180,46,2,1,5,1,1,2,2,0,1
8220,64,1,3,4,1,0,2,0,0,1
996,56,1,18,5,1,1,1,10,2,1
9331,13,1,1,3,1,1,2,2,0,1
1652,61,2,3,4,1,1,2,0,0,1
3238,54,2,1,3,1,1,2,0,0,1
6253,14,1,1,3,1,1,2,0,0,1
915,45,1,12,5,1,1,1,14,1,1
9766,18,1,1,4,1,1,1,3,0,2
5690,77,2,2,2,1,0,2,0,0,2
5503,20,1,1,5,1,1,1,4,0,1
10342,8,2,1,2,1,0,2,0,0,2
4521,59,1,9,5,1,1,2,1,0,1
3236,79,2,2,2,1,0,2,0,0,2
4028,30,2,6,5,1,1,1,1,0,1
4131,50,1,13,4,1,1,2,4,0,1
4261,43,1,6,5,1,1,1,2,0,1
6827,49,2,1,4,1,1,2,0,0,1
8724,22,2,3,5,1,1,1,5,1,2
3749,54,1,4,4,1,1,1,0,0,2
724,55,2,1,4,1,1,2,1,0,1
6714,10,1,1,2,1, ,2,0,0,1
5525,62,1,4,4,2,0,2,0,0,2
5692,14,2,1,3,1,1,2,3,2,2
2737,62,1,7,4,1,0,2,0,0,2
5385,34,2,1,6,1,1,1,6,0,1
305,46,1,8,5,1,1,1,12,0,2
8396,54,2,1,4,1,1,2,2,0,1
7437,16,1,1,4,2,1,1,8,0,2
4963,19,1,1,5,1,1,2,8,0,1
7779,79,1,4,2,1,0,2,0,0,2
5337,83,1,4,4,1,1,2,0,0,2
9765,20,1,2,5,1,1,1,0,0,2
10820,36,1,9,5,1,1,1,15,1,1
7729,75,1,1,3,2,0,2,0,0,2
4064,73,1,12,3,1,0,2,0,0,2
3009,29,2,6,6,1,1,1,20,4,1
2835,19,2,1,5,1,1,1,3,0,1
873,26,2,6,5,1,1,1,3,1,1
5581,63,2,1,2,2,0,2,0,0,2
6699,16,1,1,4,1,1,1,3,0,1
1045,26,2,1,4,1,1,1,0,0,2
3881,13,2,1,3,1,1,1,5,0,1
9628,50,2,1,5,1,1,1,6,2,1
6452,49,1,8,5,1,1,2,5,0,1
9998,55,1,8,5,1,1,2,2,0,1
5309,20,1,1,5,1,1,1,3,0,1
913,11,1,1,2,1,0,2,2,0,2
6327,50,2,5,3,1,1,2,6,0,1
8042,58,2,1,4,2,1,2,0,0,2
5089,66,2,1,4,1,1,1,4,0,1
2801,55,2,5,4,1,1,2,5,0,2
8465,37,2,1,5,1,1,1,1,0,2
1426,47,2,1,4,1,1,2,0,0,2
2563,42,1,3,5,1,1,2,0,0,1
1813,15,1,1,3,1,1,2,3,0,2
2511,12,2,1,2,2,1,1,3,1,1
2702,52,1,8,5,1,1,2,1,0,1
826,54,2,6,4,1,1,1,2,0,1
10316,15,1,1,3,1,1,1,2,0,2
5394,63,1,5,4,1,1,2,0,0,1
925,13,1,1,3,1,0,2,4,0,2
9341,59,2,1,4,1,1,1,2,0,1
6584,42,1,6,5,1,1,1,6,0,1
10790,55,2,6,5,1,1,2,6,0,1
10078,10,1,1,2,1,0,2,7,0,2
10165,41,2,1,5,1,1,2,7,1,1
2274,53,2,5,4,1,1,2,6,0,1
3371,34,1,10,5,1,1,1,6,1,1
8764,40,2,1,5,1,1,2,7,0,1
1480,74,2,3,3,1,1,2,0,0,2
9573,45,2,4,6,1,1,1,2,1,1
3716,73,2,2,2,1,0,2,1,0,2
8642,42,1,8,5,1,1,2,6,0,1
1002,27,2,5,4,1,1,1,1,1,2
7144,53,1,8,4,1,1,2,0,0,1
10061,43,2,1,5,1,1,2,10,0,1
4341,37,1,10,5,1,1,1,5,0,1
224,45,2,4,5,1,1,1,3,0,1
1074,76,2,1,5,1,1,2,0,0,2
2916,54,2,5,4,1,1,2,0,0,2
708,13,1,1,3,1,1,1,5,0,2
10522,64,1,1,2,2,0,2,0,0,2
8558,51,2,1,4,1,1,1,3,1,1
6,11,1,1,2,1,0,2,2,0,2
7150,30,1,7,5,1,1,2,0,0,1
134,26,1,6,5,1,1,1,4,2,1
5495,46,2,3,4,1,1,1,1,0,1
2014,50,2,6,4,1,1,2,2,0,2
1407,75,1,4,4,1,0,2,0,0,2
8961,11,1,1,2,1,1,1,10,0,2
5411,66,1,7,5,1,1,1,0,0,1
9919,67,2,1,4,1,1,2,3,2,1
276,62,1,5,5,1,1,2,2,0,1
10281,69,1,4,3,1,1,2,0,0,2
8066,63,2,1,2,2,0,2,0,0,2
5302,29,2,6,5,1,1,1,10,1,1
8599,48,1,8,5,1,1,1,3,0,1
6783,59,2,5,4,1,1,1,1,0,1
358,39,1,8,5,1,1,1,5,0,2
8464,39,1,8,5,1,1,2,1,0,2
9768,65,2,1,4,1,0,2,0,0,1
6789,63,2,1,3,1,0,2,0,0,1
4256,30,2,5,5,1,1,1,10,3,2
5584,69,1,3,2,2,0,2,0,0,2
7644,85,1,3,2,1, ,2,0,0,1
8824,62,2,1,3,1,1,1,0,0,2
