movieCd,audiCnt,audiAcc,scrnCnt,showCnt
20207341,6321,6962,467,1097
20205402,3257,96541,223,587
20207722,3233,56902,341,554
20173226,3096,40934,314,405
20197397,2629,58825,337,597
20181685,2069,50801,275,442
20207893,2045,2045,231,394
20206441,1323,42742,159,368
20192399,1097,849688,192,272
20167904,1093,3721450,173,230
20207341,5342,12304,473,1073
20207722,3198,60100,319,495
20205402,2869,99410,217,537
20173226,2794,43728,323,407
20197397,2322,61147,312,505
20207893,2125,4170,244,379
20181685,1612,52413,230,346
20206441,1170,43912,162,339
20192399,979,850667,183,233
20167904,810,3722260,152,190
20207341,5171,17475,491,1089
20207722,3943,64043,345,544
20173226,2831,46559,345,452
20205402,2480,101890,221,519
20207893,1944,6114,252,389
20197397,1915,63062,304,476
20181685,1233,53646,232,322
20192399,1128,851795,197,249
20206441,1120,45032,156,327
20167904,925,3723185,159,198
20207341,17092,34567,563,1411
20205402,8766,110656,279,800
20207893,8106,14220,308,537
20207722,6438,70481,406,728
20173226,6335,52894,403,570
20197397,4256,67318,347,610
20192399,4061,855856,233,341
20206441,3730,48762,187,461
20181685,3662,57308,294,481
20167904,2574,3725759,196,265
20207341,12161,46728,563,1379
20207893,8777,22997,326,577
20205402,8115,118771,277,813
20207722,5653,76134,407,714
20173226,5474,58368,404,569
20197397,3905,71223,350,605
20181685,3821,61129,284,473
20192399,2959,858815,229,331
20206441,2570,51332,183,421
20167904,2255,3728014,195,256
20207341,4118,50846,498,1041
20207893,2589,25586,308,523
20207722,2554,78688,328,499
20173226,2298,60666,367,479
20205402,1648,120419,200,440
20197397,1508,72731,279,430
20181685,1302,62431,226,320
20167904,855,3728869,166,212
20192399,853,859668,172,222
20206441,733,52065,142,262
20207341,4178,55024,491,1037
20207893,3008,28594,328,559
20207722,2533,81221,327,527
20173226,2211,62877,368,479
20205402,1753,122172,215,443
20197397,1700,74431,286,427
20181685,1203,63634,235,323
20167904,991,3729860,172,210
20192399,954,860622,176,222
20206441,659,52724,123,230
20207722,3646,84867,280,427
20208282,3497,3689,162,475
20207893,3431,32025,341,632
20207341,3330,58354,456,873
20173226,1907,64784,327,416
20208562,1903,1903,278,453
20205402,1513,123685,202,383
20197397,1414,75845,239,345
20204501,1190,1954,339,471
20181685,865,64499,170,237
20208282,3567,7256,170,475
20113252,3140,5337,313,478
20207893,2953,34978,344,587
20208686,2811,2811,433,827
20207341,2462,60816,402,685
20205402,2056,125741,169,331
20173226,1463,66247,263,317
20207722,1390,86257,246,347
20208241,1166,1166,129,167
20197397,1017,76862,153,203
20208282,4934,12190,188,531
20207893,4314,39292,394,692
20208686,3591,6402,455,873
20207341,3515,64331,408,762
20207722,2477,88734,249,369
20205402,2191,127932,170,332
20113252,2072,7409,312,502
20173226,1872,68119,282,353
20204501,1132,4090,322,417
20208562,977,3748,223,299
20207893,13560,52852,498,1010
20208282,9798,21988,224,665
20208686,6757,13159,491,949
20207341,5442,69773,470,886
20113252,4171,11580,361,604
20205402,4026,131958,229,539
20173226,3348,71467,301,394
20207722,2351,91085,274,431
20204501,1873,5963,331,443
20208562,1776,5524,266,372
20207893,14963,67815,529,1080
20208282,7783,29771,228,681
20208686,6714,19873,505,941
20207341,4179,73952,458,816
20205402,3781,135739,222,522
20173226,2993,74460,292,388
20113252,2954,14534,361,586
20207722,2746,93831,276,405
20196272,2000,957894,10,10
20204501,1906,7869,333,435
20207893,5714,73529,480,907
20208282,2684,32455,188,506
20208686,2542,22415,416,697
20207341,1928,75880,373,610
20113252,1623,16157,298,448
20207722,1492,95323,221,296
20173226,1336,75796,248,303
20205402,1141,136880,163,286
20196782,650,650,3,4
20208562,635,7759,182,236
20207893,6105,79634,496,958
20208282,2863,35318,200,526
20208686,2637,25052,430,722
20207341,2082,77962,395,645
20113252,1590,17747,308,461
20173226,1503,77299,261,326
20207722,1364,96687,234,320
20205402,1003,137883,181,296
20204501,888,9382,258,310
20208562,672,8431,182,232
20207893,5543,85177,494,978
20208282,2692,38010,194,496
20208122,2441,3047,369,619
20208663,1647,2026,333,581
20189987,1634,1637,293,413
20208686,1371,26423,313,436
20208741,1355,1355,277,455
20113252,1311,19058,247,338
20207341,1304,79266,287,397
20173226,1208,78507,215,246
20179462,5692,1408714,427,700
20207893,5015,90192,468,900
20208122,2454,5501,368,569
20208282,2234,40244,188,449
20189987,1523,3160,256,350
20208663,1174,3200,282,431
20190280,1071,693704,147,160
20208686,1012,27435,242,307
20113252,874,19932,166,204
20208265,868,1130,109,194
20179462,7850,1416564,483,840
20207893,6125,96317,483,963
20208122,3090,8591,371,603
20208282,2499,42743,183,474
20189987,1263,4423,249,342
20208663,1129,4329,278,416
20173226,999,80363,160,178
20207341,924,81008,228,276
20113252,906,20838,152,185
20208686,871,28306,214,281
20179462,16276,1432840,587,1219
20207893,15655,111972,545,1271
20208122,6722,15313,453,783
20208282,4617,47360,205,571
20189987,2989,7412,312,451
20190280,2291,696779,171,216
20173226,2033,82396,184,212
20205402,2013,142156,175,311
20208663,1913,6242,312,461
20208686,1807,30113,270,391
20179462,16842,1449682,598,1277
20207893,15003,126975,547,1279
20208122,6482,21795,463,772
20208282,4468,51828,204,564
20189987,3010,10422,318,454
20190280,2347,699126,194,238
20173226,2303,84699,183,209
20205402,2254,144410,180,322
20208686,2129,32242,277,383
20208663,1970,8212,300,444
20179462,7420,1457102,520,1065
20207893,4465,131440,468,961
20208122,2570,24365,381,633
20208282,1504,53332,163,379
20189987,1189,11611,254,347
20207501,1090,1168,10,10
20208663,858,9070,239,328
20190280,817,699943,157,179
20173226,763,85462,150,164
20208686,642,32884,191,238
20179462,7160,1464262,516,1072
20207893,4626,136066,477,975
20208122,2656,27021,389,645
20208282,1635,54967,178,391
20189987,1226,12837,258,341
20173226,909,86371,163,176
20113252,861,25398,145,175
20208686,815,33699,179,226
20208663,781,9851,234,303
20190280,739,700682,154,178
20209161,9686,9686,499,1373
20179462,9013,1473275,455,1091
20207893,5810,141876,400,895
20207501,3966,5616,374,593
20208122,3308,30329,298,462
20208264,3207,4333,375,616
20209029,1921,2440,133,226
20196782,1899,2549,353,573
20208282,1376,56343,146,280
20173226,850,87221,95,109
20209161,6248,15934,484,1267
20179462,6148,1479423,427,992
20207893,3367,145243,383,769
20207501,1936,7552,330,480
20208122,1634,31963,259,376
20208264,1587,5920,354,545
20209029,1509,3949,125,203
20196782,1327,3876,331,516
20196857,1245,2629,157,178
20208282,948,57291,135,248
20209161,7128,23062,511,1296
20179462,7109,1486532,450,1040
20207893,4017,149260,401,815
20207501,2336,9888,351,521
20208122,2000,33963,277,414
20208264,1963,7883,359,565
20209029,1594,5543,124,201
20196782,1388,5264,333,511
20208282,977,58268,126,232
20197390,844,112075,3,3
20209161,17016,40078,576,1661
20179462,14204,1500736,512,1329
20207893,10186,159446,448,1073
