관객,전체스크린수,전체영화상영횟수,평균개봉기간,최고점유율,점유율편차,관객수,스크린수
6980.53,3002.0,11691.0,15.5,28.3,8.745513135316877,7048.53,2985.0
6554.16,2906.0,11269.0,16.1,26.9,7.94869660873893,6630.16,2880.0
2018.87,2610.0,11096.0,10.0,30.3,8.326297029425637,2179.87,2562.0
5049.44,2785.0,11696.0,13.1,24.7,7.808400035289631,5161.44,2740.0
1326.26,2602.0,10746.0,17.4,22.4,6.713336643494714,1503.26,2642.0
1226.25,2607.0,10622.0,18.4,21.7,6.410486201009508,1341.25,2657.0
1163.9,2495.0,9864.0,23.0,21.3,6.156378805759113,1267.9,2531.0
,2373.0,9803.0,18.6,64.2,19.38297076187125,2334.3,2322.0
2526.42,2432.0,10023.0,23.4,,20.574474476885182,2593.42,2460.0
3177.62,2601.0,10948.0,13.8,39.7,14.375476803686665,3274.62,2562.0
,2876.0,10688.0,15.1,32.5,11.277529280239827,5183.57,2953.0
6848.67,3060.0,11892.0,14.8,36.4,11.764074313112971,6959.67,3056.0
5879.36,2878.0,11413.0,15.4,37.9,11.837773814737673,5988.36,2958.0
1606.79,2456.0,10194.0,18.2,37.2,12.255252842035626,1679.79,2416.0
7647.41,2701.0,12497.0,9.2,29.5,,7810.41,2782.0
1872.74,2443.0,10004.0,6.0,41.5,12.243274797936122,1943.74,2446.0
2463.16,2360.0,10028.0,7.6,41.8,12.47185720821972,2543.16,2376.0
6185.23,2687.0,,,43.5,13.241974508693517,6358.23,2717.0
6324.17,2632.0,11941.0,13.8,31.1,11.700735969255192,6452.17,2614.0
2104.88,2241.0,9453.0,11.3,24.4,7.9009211839857985,2163.88,2237.0
,2513.0,11104.0,13.6,29.3,9.142234105755797,5334.79,2490.0
1646.83,2477.0,,13.5,27.0,8.203122711639892,1684.83,2406.0
5991.51,2921.0,11603.0,14.8,22.8,7.4244042035558495,6096.51,2923.0
3023.53,2640.0,11485.0,,35.3,11.997596981618164,3119.53,2684.0
7059.21,2983.0,12475.0,18.9,,10.848251267165391,7091.21,3057.0
1815.39,2565.0,10652.0,18.6,33.8,11.566810757988176,1951.39,2631.0
5840.85,2960.0,11846.0,9.0,37.5,12.41001387768944,5983.85,2972.0
4356.45,2907.0,11364.0,14.0,35.9,10.928840540311473,4447.45,2862.0
3230.08,3133.0,11267.0,653.3,29.7,8.409419322006325,,3180.0
8248.45,3059.0,12347.0,13.7,34.2,10.009795202700207,,3092.0
8979.01,3125.0,13387.0,8.2,22.2,7.617822669386718,,3190.0
10033.02,3302.0,13215.0,,37.4,11.14383237490586,10171.02,3315.0
2914.58,3021.0,,16.2,51.8,15.817743201860374,3011.58,3111.0
7866.93,,12051.0,472.1,39.1,11.162581342244373,8013.93,
2291.55,2933.0,10969.0,475.1,39.2,11.596474560064461,2341.55,
,2772.0,11076.0,11.5,30.8,9.859282146507649,,2812.0
2512.24,2890.0,10974.0,16.5,26.1,8.796520776862735,2594.24,2900.0
6265.85,3084.0,11819.0,13.6,22.7,7.522418346368258,6385.85,3132.0
2228.16,2776.0,10521.0,,18.5,6.276941930590085,2325.16,2740.0
7031.47,3013.0,,11.9,34.6,9.59942706623682,7127.47,2958.0
6090.56,3043.0,11783.0,13.9,37.5,10.748648493854681,,2997.0
1504.76,2516.0,9826.0,15.8,36.7,11.002065462650387,1582.76,2554.0
6974.52,2969.0,11807.0,14.3,35.3,,7041.52,3041.0
