age,sex,income,education,live_in_city,own_smartphone,own_tablet,sns_use,newspaper
44,1,5,4,1,1,0,0,1
15,0,1,3,1,1,0,1,1
78,1,1,2,1,0,0,0,0
65,0,5,4,1,1,0,0,1
62,1,1,4,1,1,0,0,1
39,0,6,5,1,1,0,1,1
69,1,1,4,1,1,0,0,1
41,1,1,5,1,1,0,1,1
14,0,1,3,1,1,0,0,1
62,0,5,5,1,1,0,0,1
62,1,1,4,1,1,0,0,1
31,0,6,5,1,1,0,0,1
61,0,6,5,1,1,0,0,1
60,1,1,4,1,1,0,1,1
33,0,5,4,1,1,0,0,1
37,1,4,5,1,1,0,1,1
63,1,1,5,1,1,0,0,0
38,0,8,6,1,1,1,1,0
50,1,6,4,1,1,0,0,0
61,1,5,4,1,1,0,1,1
60,0,7,5,1,1,0,0,1
57,1,5,5,1,1,0,1,1
36,1,1,4,1,1,0,1,1
63,0,8,5,1,1,0,0,0
59,1,1,4,1,1,0,0,0
39,1,7,4,1,1,0,1,1
53,0,8,5,1,1,0,1,0
53,1,6,5,1,1,0,1,0
54,0,12,5,1,1,0,1,0
51,1,1,5,1,1,0,0,1
45,0,8,5,1,1,0,1,1
44,1,1,5,1,1,0,1,1
53,0,8,5,1,1,0,1,1
44,1,6,5,1,1,0,0,1
44,0,8,5,1,1,0,1,1
39,1,6,5,1,1,0,1,0
50,1,4,4,1,1,0,0,0
24,0,8,5,1,1,0,0,0
46,0,8,5,1,1,1,1,0
44,1,8,5,1,1,0,0,0
44,0,9,5,1,1,0,0,0
39,1,7,5,1,1,0,0,0
53,0,11,5,1,1,0,0,0
51,1,8,5,1,1,0,1,0
50,0,12,5,1,1,0,0,0
46,1,8,5,1,1,0,0,0
44,0,13,5,1,1,0,0,0
43,1,7,5,1,1,0,0,0
56,0,7,5,1,1,0,0,1
54,1,1,5,1,1,0,0,0
27,1,6,5,1,1,0,1,1
24,0,1,5,1,1,0,1,1
83,1,3,3,1,0,0,0,0
53,0,17,5,1,1,0,1,1
47,1,1,5,1,1,0,1,0
22,1,1,5,1,1,1,1,0
18,1,1,4,1,1,1,1,0
50,0,8,5,1,1,0,1,1
50,1,1,5,1,1,0,1,0
22,1,18,5,1,1,0,0,1
18,0,2,5,1,1,0,0,0
52,0,11,5,1,1,0,1,1
49,1,1,4,1,1,0,1,0
22,1,1,5,1,1,0,0,0
20,1,1,5,1,1,0,1,0
51,0,7,4,1,1,0,0,0
50,1,1,4,1,1,0,1,0
50,0,3,5,1,1,0,1,0
45,1,4,5,1,1,1,1,1
23,1,2,5,1,1,0,1,1
22,1,3,5,1,1,0,1,0
45,0,16,5,1,1,0,0,1
44,1,5,5,1,1,0,0,0
17,1,1,4,1,1,0,1,0
14,1,1,3,1,1,1,1,0
56,0,5,5,1,1,0,1,0
52,1,6,5,1,1,0,1,0
24,1,6,5,1,1,1,1,1
78,1,1,4,1,0,0,0,0
79,0,1,4,1,0,0,0,0
77,1,1,5,1,0,0,0,0
81,0,4,4,1,1,0,0,1
74,1,1,4,1,1,0,0,1
50,0,5,4,1,1,0,0,1
54,0,8,5,1,1,0,0,0
52,1,6,5,1,1,0,0,0
24,0,1,5,1,1,0,1,0
19,0,1,5,1,1,0,1,0
61,1,5,4,1,1,0,0,0
21,0,1,5,1,1,0,1,0
67,1,5,4,1,1,0,0,0
39,0,8,5,1,1,0,1,0
38,0,6,4,1,1,0,0,0
39,1,6,5,1,1,0,0,0
57,1,4,4,1,1,0,0,0
49,0,8,5,1,1,1,1,1
86,1,3,2,1,0,0,0,0
55,0,8,5,1,1,0,0,0
53,1,6,5,1,1,0,0,0
19,0,1,5,1,1,0,1,0
59,0,6,4,1,1,0,0,0
56,1,1,4,1,1,0,0,0
29,1,6,5,1,1,0,1,0
25,1,5,5,1,1,0,1,0
81,0,4,2,1,1,0,0,1
64,1,1,4,1,1,0,0,0
71,0,1,4,1,1,0,0,1
66,1,1,4,1,1,0,0,1
40,0,8,5,1,1,0,1,0
81,0,3,3,1,0,0,0,0
77,1,1,2,1,0,0,0,0
76,0,4,4,1,0,0,0,0
74,1,1,4,1,0,0,0,0
70,1,1,2,1,0,0,0,0
71,0,5,4,1,0,0,0,0
63,1,1,4,1,1,0,0,0
51,0,7,5,1,1,0,0,0
47,1,7,5,1,1,0,0,0
23,1,6,5,1,1,0,1,0
52,1,1,4,1,1,0,0,0
27,1,5,5,1,1,0,1,0
44,0,6,5,1,1,1,0,1
40,1,1,5,1,1,1,0,0
10,1,1,2,1,0,0,0,0
63,1,1,4,1,1,0,0,0
80,0,4,2,1,0,0,0,0
75,1,1,2,1,0,0,0,0
63,0,5,4,1,0,0,0,1
59,1,1,4,1,1,0,0,0
26,1,7,5,1,1,0,1,0
83,1,1,3,1,0,0,0,0
47,0,8,5,1,1,0,1,1
63,0,6,4,1,1,0,0,1
61,1,6,4,1,1,0,0,1
51,0,13,5,1,1,0,0,1
46,1,1,4,1,1,0,0,1
18,0,1,5,1,1,0,1,0
16,1,1,4,1,1,0,1,0
44,1,1,5,1,1,0,1,1
13,0,1,3,1,0,0,0,0
11,1,1,2,1,0,0,0,0
66,0,6,4,1,1,0,0,1
60,1,1,4,1,1,0,0,1
36,1,7,5,1,1,0,1,1
80,0,5,3,1,0,0,0,0
77,1,2,3,1,0,0,0,0
42,0,13,6,1,1,0,1,1
41,1,1,6,1,1,0,1,1
50,1,2,5,1,1,0,0,1
20,0,1,5,1,1,0,1,1
53,0,15,5,1,1,0,0,1
53,1,8,5,1,1,1,0,1
29,1,7,5,1,1,0,1,1
25,0,1,5,1,1,0,1,1
55,0,12,6,1,1,0,1,1
55,1,1,5,1,1,0,0,1
27,0,7,5,1,1,1,1,1
51,1,6,4,1,1,0,0,1
41,0,9,5,1,1,0,0,1
41,1,1,5,1,1,0,1,1
11,1,1,2,1,1,1,0,0
9,0,1,2,1,0,1,0,0
42,0,5,5,1,1,1,0,0
45,1,1,4,1,1,0,0,0
11,1,1,2,1,0,1,0,0
44,0,18,5,1,1,1,1,1
43,1,5,4,1,1,0,0,1
16,1,1,4,1,1,0,1,0
14,1,1,3,1,1,0,1,0
43,0,9,5,1,1,1,1,1
42,1,5,5,1,1,0,0,0
14,0,1,3,1,1,0,1,0
12,1,1,2,1,1,0,0,0
10,0,1,2,1,0,0,0,0
66,0,5,4,1,1,0,1,1
65,1,1,3,1,1,0,1,1
61,0,18,5,1,1,1,0,1
54,1,16,4,1,1,0,0,0
30,0,7,5,1,1,0,0,1
60,0,9,6,1,1,0,1,1
53,1,7,6,1,1,0,1,0
26,0,1,5,1,1,0,1,1
22,0,1,5,1,1,0,1,0
43,0,11,4,1,1,1,1,1
43,1,1,4,1,1,1,1,1
16,0,1,3,1,1,0,1,0
13,1,1,3,1,1,0,1,0
34,0,6,5,1,1,0,1,0
34,1,9,5,1,1,0,0,0
10,0,1,2,1,1,0,0,0
6,1,1,1,1,0,0,0,0
44,0,9,5,1,1,0,0,1
44,1,4,4,1,1,0,0,1
17,1,1,4,1,1,0,0,1
15,1,1,4,1,1,0,1,1
14,0,1,3,1,1,0,0,0
67,0,6,3,1,1,0,1,1
63,1,1,2,1,0,0,0,0
44,0,10,5,1,1,1,1,1
43,1,10,5,1,1,1,1,1
15,0,1,3,1,1,1,1,1
