rnum,rankInten,rankOldAndNew,date,movieCd,salesAmt,salesShare,salesChange
8,-1,OLD,4/17/2020,20206402,9433700,5,32.2
9,0,OLD,4/17/2020,20161827,6055500,3.2,12.1
10,0,OLD,4/17/2020,20206447,6617360,3.5,48.7
1,0,OLD,4/18/2020,20167904,29880960,8.4,107.1
2,1,OLD,4/18/2020,20192399,50882340,14.2,139.4
3,-1,OLD,4/18/2020,20206190,45472720,12.7,81.7
4,0,OLD,4/18/2020,20206021,39625500,11.1,93.2
5,0,OLD,4/18/2020,20204741,22130180,6.2,69.7
6,2,OLD,4/18/2020,20206402,21403500,6,126.9
7,-1,OLD,4/18/2020,20196716,19252100,5.4,46.4
8,-1,OLD,4/18/2020,20205262,18080500,5.1,97.1
9,1,OLD,4/18/2020,20206447,13758340,3.8,107.9
10,1,OLD,4/18/2020,20128274,6903500,1.9,96.1
1,0,OLD,4/19/2020,20167904,32696080,8.8,9.4
2,0,OLD,4/19/2020,20192399,56773680,15.3,11.6
3,0,OLD,4/19/2020,20206190,47446920,12.8,4.3
4,0,OLD,4/19/2020,20206021,37268000,10.1,-5.9
5,0,OLD,4/19/2020,20204741,23767160,6.4,7.4
6,0,OLD,4/19/2020,20206402,22341000,6,4.4
7,1,OLD,4/19/2020,20205262,19581500,5.3,8.3
8,-1,OLD,4/19/2020,20196716,17594300,4.7,-8.6
9,0,OLD,4/19/2020,20206447,13506540,3.6,-1.8
10,0,OLD,4/19/2020,20128274,6749500,1.8,-2.2
1,0,OLD,4/20/2020,20167904,13623680,10,-58.3
2,0,OLD,4/20/2020,20192399,16779160,12.3,-70.4
3,0,OLD,4/20/2020,20206190,15811580,11.6,-66.7
4,0,OLD,4/20/2020,20206021,11226500,8.2,-69.9
5,0,OLD,4/20/2020,20204741,8461440,6.2,-64.4
6,2,OLD,4/20/2020,20196716,7857480,5.8,-55.3
7,-1,OLD,4/20/2020,20206402,6747400,4.9,-69.8
8,-1,OLD,4/20/2020,20205262,5637500,4.1,-71.2
